Rank	Cites	Item	Typically Cited In
96	25	Gettier E 1963 Analysis	Philosophical Review, Mind
96	25	Lewis D 1984 Australas J Philos	Nous, Philosophical Review
99	24	Jeffrey R 1983 Logic Decision	Philosophical Review, Journal of Philosophy
99	24	Walton K 1990 Mimesis Make-believe	Philosophical Review, Nous
99	24	Lewis D 1979 Nous	Philosophical Review, Mind
99	24	Dennett D 1991 Consciousness Explai	Philosophical Review, Mind
99	24	Williams B 1981 Moral Luck	Nous, Mind
99	24	Fine K 1994 Philos Perspectives	Nous, Philosophical Review
99	24	Davidson D 1986 Truth Interpretation	Philosophical Review, Nous
99	24	Armstrong D 1978 Universals Sci Reali	Philosophical Review, Journal of Philosophy
99	24	Simons P 1987 Parts Study Ontology	Philosophical Review, Nous
99	24	Bratman M 1987 Intention Plans Prac	Philosophical Review, Nous
109	23	Peacocke C 1983 Sense Content Experi	Philosophical Review, Nous
109	23	Derose K 1992 Philos Phenomen Res	Nous, Philosophical Review
109	23	Yablo S 1992 Philos Rev	Journal of Philosophy, Nous
109	23	Benacerraf P 1965 Philos Rev	Journal of Philosophy, Mind
109	23	Fumerton R 1995 Metaepistemology Sce	Nous, Philosophical Review
109	23	Wiggins D 1980 Sameness Substance	Journal of Philosophy, Mind
109	23	Bach K 1994 Mind Lang	Nous, Mind
109	23	Armstrong D 1989 Universals Opinionat	Mind, Philosophical Review
109	23	Ginet C 1990 Action	Philosophical Review, Nous
109	23	Boolos G 1984 J Philos	Mind, Nous
109	23	Strawson P 1959 Individualy	Nous, Philosophical Review
120	22	Williams B 1973 Problems Self	Mind, Journal of Philosophy
120	22	Vanfraassen B 1980 Sci Image	Philosophical Review, Journal of Philosophy
120	22	Jackson F 1977 Perception Represent	Nous, Philosophical Review
120	22	Gibbard A 1975 J Philos Logic	Philosophical Review, Journal of Philosophy
120	22	Quine W 1981 Theories Things	Mind, Philosophical Review
120	22	Lycan W 1996 Consciousness Experi	Nous, Philosophical Review
120	22	Quine W 1970 Philos Logic	Mind, Journal of Philosophy
120	22	Kant I No Year No Source	Philosophical Review, Journal of Philosophy
120	22	Salmon W 1984 Sci Explanation Caus	Journal of Philosophy, Philosophical Review
120	22	Brink D 1989 Moral Realism Fdn Et	Philosophical Review, Nous
130	21	Mcdermott M 1995 Brit J Philos Sci	Journal of Philosophy, Philosophical Review
130	21	Forbes G 1985 Metaphysics Modality	Mind, Philosophical Review
130	21	Heller M 1990 Ontology Phys Object	Philosophical Review, Journal of Philosophy
130	21	Field H 1989 Realism Math Modalit	Philosophical Review, Nous
130	21	Blackburn S 1993 Essays Quasirealism	Philosophical Review, Mind
130	21	Field H 1994 Mind	Mind, Nous
130	21	Lewis D 1970 J Philos	Philosophical Review, Nous
130	21	Moore G 1903 Principia Ehtica	Nous, Mind
130	21	Plantinga A 1993 Warrant Current Deba	Nous, Mind
130	21	Williams D 1953 Rev Metaphys	Mind, Nous
130	21	Boghossian P 1989 Mind	Mind, Journal of Philosophy
141	20	Plantinga A 1974 Nature Neccessity	Mind, Nous
141	20	Lewis D 1999 Papers Metpahysics E	Nous, Philosophical Review
141	20	Lewis D 1994 Mind	Philosophical Review, Mind
141	20	Lewis D 1973 J Philos	Journal of Philosophy, Mind
141	20	Sosa E 1991 Knowledge Perspectiv	Nous, Philosophical Review
141	20	Priest G 1987 Contradiction	Mind, Journal of Philosophy
141	20	Fischer J 1998 Responsibility Contr	Nous, Mind
141	20	Searle J 1992 Rediscovery Mind	Mind, Nous
141	20	Chisholm R 1976 Person Object Metaph	Philosophical Review, Nous
141	20	Lewis D 1968 J Philos	Philosophical Review, Mind
141	20	Perry J 1979 Nous	Philosophical Review, Nous
141	20	Fodor J 1992 Holism Shoppers Guid	Journal of Philosophy, Nous
141	20	Schiffer S 1992 J Philos	Philosophical Review, Nous
141	20	Harman G 1990 Philos Perspectives	Nous, Mind
141	20	Carnap R 1956 Meaning Necessity	Philosophical Review, Journal of Philosophy
141	20	Chisholm R 1957 Perceiving Philos St	Nous, Philosophical Review
141	20	Grice P 1989 Studies Ways Words	Philosophical Review, Nous
141	20	Vanfraassen B 1989 Laws Symmetruy	Philosophical Review, Journal of Philosophy
141	20	Hume D 1978 Treatise Human Natur	Philosophical Review, Nous
141	20	Crimmins M 1989 J Philos	Philosophical Review, Nous
141	20	Armstrong D 1983 What IS Law Nature	Nous, Journal of Philosophy
141	20	Burge T 1986 Philos Rev	Mind, Philosophical Review
141	20	Frege G 1892 Z Philos Philos Krit	Mind, Journal of Philosophy
141	20	Frege G 1979 Posthumous Writings	Mind, Philosophical Review
165	19	Fodor J 1974 Synthese	Journal of Philosophy, Nous
165	19	Dummett M 1981 Interpretation Frege	Mind, Philosophical Review
165	19	Dummett M 1981 Frege Philos Languag	Philosophical Review, Mind
165	19	Johnston M 1992 Philos Stud	Philosophical Review, Mind
165	19	Barwise J 1981 Linguist Philos	Nous, Mind
165	19	Lewis D 2000 J Philos	Journal of Philosophy, Philosophical Review
165	19	Ross W 1930 Right Good	Mind, Nous
165	19	Hardin C 1988 Color Philosophers U	Philosophical Review, Nous
165	19	Stalnaker R 1968 Studies Logical Theo	Philosophical Review, Nous
165	19	Frankfurt H 1988 Importance What Care	Philosophical Review, Nous
165	19	Rosen G 1990 Mind	Nous, Mind
165	19	Dretske F 1988 Explaining Behav Rea	Nous, Mind
165	19	Harman G 1973 Thought	Nous, Philosophical Review
165	19	Dennett D 1987 Intentional Stance	Journal of Philosophy, Philosophical Review
179	18	Parsons T 1990 Events Sematics Engl	Nous, Philosophical Review
179	18	Kaplan D 1989 Themes Kaplan	Nous, Philosophical Review
