Rank	Cites	Item	Typically Cited In
363	11	Forbes G 1989 Languages Possibilit	Mind, Philosophical Review
363	11	Hall N 1994 Mind	Philosophical Review, Mind
363	11	Harman G 1999 Reasoning Meaning Mi	Nous, Philosophical Review
363	11	Stalnaker R 1975 Philosophia	Philosophical Review, Mind
363	11	Korsgaard C 1997 Ethics Practical Rea	Philosophical Review, Nous
363	11	Haslanger S 1989 Analysis	Philosophical Review, Mind
363	11	Burge T 1977 J Philos	Philosophical Review, Nous
363	11	Dretske F 1977 Philos Sci	Nous, Journal of Philosophy
363	11	Kavka G 1983 Analysis	Philosophical Review, Mind
363	11	Rysiew P 2001 Nous	Philosophical Review, Nous
363	11	Boghossian P 1990 Philos Rev	Philosophical Review, Mind
435	10	Aristotle No Year P981a24	Philosophical Review, Journal of Philosophy
435	10	Wittgenstein L No Year No Source	Journal of Philosophy, Mind
435	10	Evans G No Year No Source	Philosophical Review, Mind
435	10	Moore G 1903 Mind	Nous, Mind
435	10	Olson E 1997 Human Animal Persoan	Philosophical Review, Nous
435	10	Hazen A 1979 J Philos	Philosophical Review, Journal of Philosophy
435	10	Soames S 2002 Rigidity Unfinished	Philosophical Review, Nous
435	10	Quine W 1966 Ways Paradox	Mind, Philosophical Review
435	10	Hill C 1997 Philos Stud	Philosophical Review, Nous
435	10	Lewis D 1981 Australas J Philos	Philosophical Review, Mind
435	10	Kuhn T 1970 Structure Sci Revolu	Philosophical Review, Nous
435	10	Fodor J 1981 Representations	Journal of Philosophy, Nous
435	10	Pettit P 1990 Philos Rev	Philosophical Review, Mind
435	10	Arntzenius F 2003 J Philos	Philosophical Review, Journal of Philosophy
435	10	Field H 1972 J Philos	Philosophical Review, Journal of Philosophy
435	10	Dretske F 1971 Australas J Philos	Philosophical Review, Nous
435	10	Putnam H 1994 J Philos	Journal of Philosophy, Nous
435	10	Velleman J 2000 Possibility Practica	Philosophical Review, Nous
435	10	Rawls J 1980 J Philos	Journal of Philosophy, Nous
435	10	Horwich P 1998 Truth	Philosophical Review, Journal of Philosophy
435	10	Wright C 1985 P Brit Acad	Nous, Philosophical Review
435	10	Audi R 1993 Structure Justificat	Nous, Journal of Philosophy
435	10	Wiggins D 1987 Needs Values Truth	Philosophical Review, Mind
435	10	Tooley M 1977 Can J Philos	Nous, Mind
435	10	Schiffer S 1996 P Aristotelian Soc	Nous, Mind
435	10	Goldman A 1967 J Philos	Philosophical Review, Nous
435	10	Fine K 1985 A Plantinga	Philosophical Review, Nous
435	10	Paul L 2000 J Philos	Philosophical Review, Journal of Philosophy
435	10	Putnam H 1978 Meaning Moral Sci	Journal of Philosophy, Nous
435	10	Gibson J 1979 Ecological Approach	Mind, Philosophical Review
435	10	Haji I 1998 Moral Appraisability	Philosophical Review, Nous
435	10	Gardenfors P 1988 Knowledge Flux Cambr	Mind, Journal of Philosophy
435	10	Menzies P 1989 Philos Sci	Mind, Journal of Philosophy
435	10	Rorty R 1979 Philos Mirror Nature	Nous, Philosophical Review
435	10	Plantinga A 1983 Philos Stud	Philosophical Review, Nous
435	10	Wright C 1975 Synthese	Mind, Philosophical Review
435	10	Cohen S 2002 Philos Phenomen Res	Philosophical Review, Nous
435	10	Hume D No Year No Source	Nous, Journal of Philosophy
435	10	Ramachandran M 1997 Mind	Mind, Philosophical Review
435	10	Sider T 1997 Philos Rev	Nous, Philosophical Review
435	10	Gupta A 1993 Philos Topics	Philosophical Review, Journal of Philosophy
435	10	Keynes J 1921 Treatise Probability	Nous, Mind
435	10	Lange M 2000 Natural Laws Sci Pra	Mind, Nous
435	10	O'connor T 2000 Persons Causes Metap	Philosophical Review, Nous
435	10	Millikan R 1989 J Philos	Philosophical Review, Mind
435	10	Putnam H 1971 Philos Logic	Mind, Philosophical Review
435	10	Schiffer S 1972 Meaning	Philosophical Review, Nous
435	10	Linsky B 1994 Philos Perspectives	Mind, Nous
435	10	Vendler Z 1967 Linguistics Philos	Mind, Nous
435	10	Lewis D No Year No Source	Mind, Nous
435	10	Black M 1952 Mind	Journal of Philosophy, Philosophical Review
435	10	Huemer M 2001 Skepticism Veil Perc	Nous, Mind
435	10	Jackson F 1986 J Philos	Nous, Philosophical Review
435	10	Boyd R 1988 Essays Moral Realism	Philosophical Review, Nous
435	10	Fodor J 1980 Behav Brain Sci	Philosophical Review, Mind
435	10	Feldman R 1985 Philos Stud	Nous, Philosophical Review
435	10	Foot P 2001 Natural Goodness	Mind, Nous
435	10	Zagzebski L 1991 Dilemma Freedom Resp	Nous, Philosophical Review
435	10	Searle J 1980 Behav Brain Sci	Journal of Philosophy, Philosophical Review
435	10	Adams R 1974 Nous	Mind, Journal of Philosophy
435	10	Lewis D 1970 Synthese	Philosophical Review, Mind
435	10	Shapiro S 1998 J Philos	Mind, Journal of Philosophy
435	10	Schiffer S 1998 Monist	Nous
435	10	Braun D 1993 Nous	Philosophical Review, Journal of Philosophy
435	10	Chalmers D 2001 Philos Rev	Nous, Philosophical Review
435	10	Thomson J 1983 J Philos	Philosophical Review, Journal of Philosophy
435	10	Conee E 2004 Evidentialism	Nous, Journal of Philosophy
435	10	Jackson F 1977 Australas J Philos	Mind, Philosophical Review
435	10	Hurvich L 1981 Color Vision Intro	Nous, Philosophical Review
435	10	Siewert C 1998 Significance Conscio	Nous, Philosophical Review
435	10	Loux M 1979 Possible Actual	Philosophical Review, Mind
435	10	Horn L 1989 Natural Hist Negatio	Nous, Mind
435	10	Dretske F 1969 Seeing Knowing	Nous, Philosophical Review
435	10	Lewis D 1966 J Philos	Nous, Journal of Philosophy
435	10	Wright C 2002 Philos Phenomen Res	Philosophical Review, Nous
435	10	Merricks T 1995 Mind	Philosophical Review, Nous
435	10	Derose K 1996 Australas J Philos	Philosophical Review, Nous
435	10	Hyde D 1997 Mind	Mind, Nous
435	10	James W 1890 Principles Psychol	Nous, Mind
435	10	Braddon-mitchell D 1996 Philos Mind Cognitio	Nous, Philosophical Review
435	10	Quine W 1953 From Logical Point O	Journal of Philosophy, Philosophical Review
435	10	Tye M 1990 Mind	Mind, Nous
435	10	Grice H 1961 P Aristotelian Soc S	Journal of Philosophy, Nous
435	10	Yablo S 1987 J Philos	Nous, Journal of Philosophy
435	10	Heck R 2000 Philos Rev	Philosophical Review, Nous
435	10	Putnam H 1975 Minnesota Studies Ph	Nous, Philosophical Review

来源
June 19, 2013 Lewis and the Women
https://kieranhealy.org/blog/archives/2013/06/19/lewis-and-the-women/
